CÓDIGO,AÑO,ENE,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.
SKU3008,2016, -   ,"3,200","20,800", -   ,"20,000", -   , -   ,"10,000", -   ,"10,400","24,000","11,600"
SKU3009,2016, -   , -   , -   ,"1,200", -   , -   ,"3,600","3,600","3,200", -   ,"5,600","1,600"
SKU3010,2016, -   ,"2,800","5,600", -   ,"10,400", -   , -   , -   , -   ,400,"10,400",400
SKU3011,2016, -   ,"12,000","91,600", -   ,"40,000", -   ,"30,000","30,000", -   , -   ,"24,000", -   
SKU3012,2016, -   ,"2,400", -   , -   , -   , -   ,"2,400", -   , -   ,"2,400", -   , -   
SKU3013,2016, -   , -   , -   , -   , -   , -   ,"7,200","1,600", -   ,"6,000", -   , -   
SKU3014,2016, -   , -   , -   , -   , -   , -   ,"1,600", -   , -   ,"1,600", -   , -   
SKU3015,2016, -   ,250,500, -   , -   , -   ,"1,500",500, -   , -   , -   , -   
SKU3016,2016, -   ,"3,200","6,000", -   ,"10,400", -   ,"5,200","3,200", -   ,"3,200","16,000", -   
SKU3017,2016, -   ,"23,000","20,500","21,500","5,000","1,000","43,500","12,000","32,000","34,500","10,500","31,500"
SKU3018,2016, -   ,"1,200","1,600", -   ,"10,400", -   , -   , -   , -   , -   ,"10,400","1,600"
SKU3019,2016, -   ,"6,250","4,000","8,750","4,500","2,000","7,000","12,000","9,000","7,000","3,000","27,250"
SKU3020,2016, -   ,120, -   ,64,48, -   ,100,50,58,123,79,56
